job_id,tag,matrix,perm,perm_type,category,error_type,error_message,job_dir
86279,random2D,as-caida.mtx,,UNKNOWN,perms,empty_output,No stdout or stderr output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/perm/random2D/20251208_185750
1281156,CUSPARSE_SPMM_BSR_SYMMETRIC,wiki-topcats.mtx,SB_metis,SYMMETRIC,random_ops,oom_gpu,2.42-GCCcore-13.3.0 CUDA error at cusparse_bsr_spmm.cpp:203: out of memory,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_BSR_SYMMETRIC_RANDOM/20260312_043606
85863,random2D,c-27.mtx,,UNKNOWN,perms,empty_output,No stdout or stderr output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/archive/archive/baldo/perm/random2D/20251208_185717_13
958418,SB_metis,model4.mtx,,UNKNOWN,random_perms,python_exception,"Traceback (most recent call last):   File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/pre_permute.py"",",/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/perm/SB_metis_RANDOM/20260220_205316_7
465743,CUSPARSE_SPMM_CSR_ROW,deter8.mtx,random1D,ROW,ops,job_cancelled,Job status: CANCELLED,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/CUSPARSE_SPMM_CSR_ROW/20260120_171911_6
450431,ASPT_SPMM_ROW,mk13-b5.mtx,random1D,ROW,ops,unknown,/opt/shares/easybuild/software/GCCcore/11.2.0/lib64/libstdc++.so.6: version `GLIBCXX_3.4.32' not found (required by /home/paolo.syloslabini/ReorderingSurvey-2026/operators/ASpT/ASpT_SpMM_GPU/sspmm_32),/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/ASPT_SPMM_ROW/20260120_144901_1
85396,random2D,lp_cre_b.mtx,,UNKNOWN,perms,empty_output,No stdout or stderr output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/archive/archive/baldo/perm/random2D/20251208_185642_4
952728,SPARTA_reorder,IG5-15.mtx,,UNKNOWN,random_perms,python_exception,"Traceback (most recent call last):   File ""/home/paolo.syloslabini/ReorderingSurvey-2026/MtxPerm/pre_permute.py"",",/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/perm/SPARTA_reorder_RANDOM/20260220_204413_10
958267,SB_metis,EAT_RS.mtx,,UNKNOWN,random_perms,segfault,t: line 36: 3947836 Segmentation fault      (core dumped) ./MtxPerm/SPARSEBASE/build/metis_part_perm $temp_mtx $perm_p,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/perm/SB_metis_RANDOM/20260220_205302_4
1407187,FLASHSPARSE_SPMM_ROW,Ill_Stokes.mtx,SB_degree,ROW,random_ops,no_timers,Completed but no parseable timer output,/home/paolo.syloslabini/ReorderingSurvey-2026/SbatchMan/experiments/baldo/gpu/FLASHSPARSE_SPMM_ROW_RANDOM/20260314_124541_3
